year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,IVI,IVI_rank,IVI_grade
2021,중랑구,신내1동,중랑구_신내1동,38649.0,6797.0,1260,0.17586483479520815,0.18537590113285274,0.4173092365915434,0.29157493929458894,0.3544420879430662,256,D
2021,중랑구,신내2동,중랑구_신내2동,20529.0,4101.0,1134,0.1997661844220371,0.2765179224579371,0.5193324605109788,0.4349308403186513,0.4771316504148151,76,A
2021,성북구,성북동,성북구_성북동,17026.0,3076.0,793,0.1806648654998238,0.25780234070221064,0.43779823052046657,0.40549338603823754,0.42164580827935205,141,B
2021,성북구,삼선동,성북구_삼선동,23413.0,3948.0,1068,0.16862426856874385,0.270516717325228,0.38640278482377877,0.4254916359152158,0.4059472103694973,172,C
2021,성북구,동선동,성북구_동선동,16115.0,2280.0,678,0.14148309028855105,0.29736842105263156,0.2705503098652423,0.4677262728687161,0.3691382913669792,232,C
2021,성북구,돈암1동,성북구_돈암1동,14791.0,2882.0,679,0.19484821851125683,0.2356002775850104,0.49834005860993796,0.37057209817907344,0.43445607839450573,124,B
2021,성북구,돈암2동,성북구_돈암2동,23913.0,3495.0,574,0.1461548111905658,0.1642346208869814,0.29049161172128285,0.2583221407019493,0.2744068762116161,364,E
2021,성북구,안암동,성북구_안암동,16527.0,2112.0,621,0.12779088763840987,0.2940340909090909,0.212104963525569,0.46248175562969135,0.3372933595776302,283,D
2021,성북구,보문동,성북구_보문동,15766.0,2415.0,705,0.15317772421666878,0.2919254658385093,0.320469007952689,0.45916513128320063,0.3898170696179448,200,C
2021,성북구,정릉1동,성북구_정릉1동,18377.0,3118.0,637,0.16966860749850357,0.20429762668377166,0.39086055922322366,0.3213366340194288,0.35609859662132626,252,C
2021,성북구,정릉2동,성북구_정릉2동,23268.0,4448.0,998,0.19116383015299984,0.2243705035971223,0.4826131986480771,0.3529089572378794,0.41776107794297823,148,B
2021,성북구,정릉3동,성북구_정릉3동,16210.0,3279.0,974,0.20228254164096238,0.2970417810308021,0.5300735642568329,0.4672125057395796,0.4986430349982063,58,A
2021,성북구,정릉4동,성북구_정릉4동,25322.0,4855.0,1161,0.19173051101808705,0.23913491246138002,0.48503208334255293,0.3761316716900197,0.4305818775162863,132,B
2021,성북구,길음1동,성북구_길음1동,35615.0,4615.0,859,0.12958023304787308,0.18613217768147344,0.21974280784101985,0.2927644751911453,0.25625364151608254,376,E
2021,성북구,길음2동,성북구_길음2동,16780.0,2559.0,668,0.15250297973778307,0.2610394685423994,0.3175888523073991,0.41058501525068525,0.36408693377904217,240,C
2021,성북구,종암동,성북구_종암동,40325.0,6760.0,1685,0.16763794172349658,0.2492603550295858,0.38219263576686285,0.39205782651442495,0.3871252311406439,202,C
2021,성북구,월곡1동,성북구_월곡1동,26525.0,4738.0,1079,0.1786239396795476,0.22773322076825664,0.4290865119264977,0.35819812400144746,0.3936423179639726,195,C
2021,성북구,월곡2동,성북구_월곡2동,19896.0,3619.0,890,0.18189585846401288,0.24592428847747996,0.4430527401104915,0.3868105781047417,0.4149316591076166,154,B
2021,성북구,장위1동,성북구_장위1동,24511.0,4067.0,1058,0.16592550283546162,0.260142611261372,0.37488306794537746,0.40917436205534863,0.39202871500036307,198,C
2021,성북구,장위2동,성북구_장위2동,13953.0,3118.0,817,0.223464487923744,0.26202694034637586,0.6204889793860241,0.41213819465286233,0.5163135870194432,48,A
2021,성북구,장위3동,성북구_장위3동,15980.0,2128.0,460,0.13316645807259073,0.2161654135338346,0.2350506563280173,0.3400032957010263,0.2875269760145218,352,E
2021,성북구,석관동,성북구_석관동,35829.0,7197.0,1821,0.20087080298082557,0.25302209253855773,0.5240475392964186,0.39797460630682424,0.4610110728016214,90,B
2021,강북구,삼양동,강북구_삼양동,23802.0,4945.0,2073,0.20775565078564825,0.419211324570273,0.5534356023225419,0.6593711251905516,0.6064033637565467,16,A
2021,강북구,미아동,강북구_미아동,21997.0,4524.0,1903,0.20566440878301587,0.42064544650751545,0.5445091084451917,0.6616268338033602,0.6030679711242759,18,A
2021,강북구,송중동,강북구_송중동,30035.0,6013.0,2058,0.20019976693857167,0.34225844004656575,0.5211832131614611,0.5383331019284923,0.5297581575449767,40,A
2021,강북구,송천동,강북구_송천동,26801.0,6173.0,2659,0.23032722659602253,0.4307468005831848,0.6497826692903181,0.677515100203725,0.6636488847470216,11,A
2021,강북구,삼각산동,강북구_삼각산동,31470.0,4504.0,1507,0.14312043215761042,0.33459147424511543,0.2775393250776805,0.5262738478697381,0.40190658647370925,180,C
2021,강북구,번1동,강북구_번1동,18717.0,3657.0,1469,0.19538387562109313,0.40169537872573147,0.5006265179988054,0.6318205600140709,0.5662235390064382,26,A
